No.,Author,Title,Publication,Start_Year,End_Year,Publication_Type,Source,비고
434,조능식,그림자없는 간부,아리랑,1956.10.,,Article,M,
435,조능식,의자 속의 사나이,아리랑,1956.12.,,Article,M,
436,조능식,냉혈여사장,명랑,1956.05.,,Article,M,
437,조능식,고성의 흡혈귀,명랑,1956.08.,,Article,M,
438,조능식,일거양득,실화,1956.12.,,Article,M,
439,조능식,돌아오지 않는 형사,아리랑,1957.04.,,Article,M,
440,조능식,백일몽,야담과 실화,1957.08.,,Article,M,
441,조능식,방송국의 참변,야담과 실화,1957.09.,,Article,M,
442,조능식,선악의 밤,아리랑,1957.10.,,Article,M,
443,조능식,혈육,화제,1957.11.,,Article,M,
444,조능식,희생자,이야기,1957.12.,,Article,M,
445,조능식,크리스마스 이브,야담과 실화,1957.12.,,Article,M,
446,조능식,육욕의 대필,명랑,1958.01.,,Article,M,
447,조능식,안락사,아리랑,1958.01.,,Article,M,
448,조능식,공범자,야담과 실화,1958.01.,,Article,M,
449,조능식,월요사건,이야기,1958.01.,,Article,M,
450,조능식,십오야의 비밀,실화,1958.02.,,Article,M,
451,조능식,향수병,실화,1958.03.,,Article,M,
452,조능식,사랑은 하나만은 아니다,이야기,1958.03.,,Article,M,
453,조능식,비단살결,아리랑,1958.04.,,Article,M,
454,조능식,그 여자는 비밀을 안다,이야기,1958.04.,,Article,M,
455,조능식,태아,실화,1958.05.,,Article,M,
456,조능식,원귀의 집,야담과 실화,1958.05.,,Article,M,
457,조능식,적신호,아리랑,1958.06.,,Article,M,
458,조능식,샹하이 리루,아리랑,1958.07.,,Article,M,
459,조능식,미행,아리랑,1958.08.,,Article,M,
460,조능식,금연여죄,실화,1958.09.,,Article,M,
461,조능식,요기담,화제,1958.09.,,Article,M,
462,조능식,김 부인의 공포,명랑,1958.11.,,Article,M,
463,조능식,위험은 도처에 있다,실화,1958.11.,,Article,M,
464,조능식,맹인의 추리,이야기,1958.11.,,Article,M,
465,조능식,영원한 흉몽,실화,1958.12.,,Article,M,
466,조능식,탐정과 청춘미망인,화제,1958.12.,,Article,M,
467,조능식,여 아나운서의 실종,아리랑,1959.06.,,Article,M,
468,조능식,그림자 없는 여인,명랑,1959.08.,,Article,M,
469,조능식,불안한 얼굴들,실화,1959.11.,,Article,M,
470,조능식,엄만 범인 아냐,명랑,1959.12.,,Article,M,
471,조풍연,전율의 48시간,명랑,1959.03.,1959.05.,Article,M,
472,조풍연,불개미의 눈,명랑,1959.07.,1959.08.,Article,M,
473,조풍연,심연의 안테나,여원,1959.01.,1959.09.,Article,M,
474,조향초,지점장의 범죄,명랑,1956.08.,,Article,M,
475,조흔파,처녀납치사건,야담,1957.02.,,Article,M,
476,조흔파,구원의 보복,야담,1957.03.,,Article,M,
477,조흔파,십오야의 참사,야담,1957.04.,,Article,M,
478,조흔파,봄 저녁의 변시체,야담,1957.05.,,Article,M,
479,조흔파,드러난 사인,야담,1957.06.,,Article,M,
480,조흔파,미녀의 비밀,야담,1957.07.,1957.08.,Article,M,
481,조흔파,괴담의 주인공,야담,1957.09.,,Article,M,
482,조흔파,부적의 동티,야담,1957.10.,,Article,M,
483,조흔파,월하의 활극,야담,1957.11.,,Article,M,
484,천세욱,악에의 도전,아리랑,1955.10.,,Article,M,
485,천세욱,욕탕의 미녀,실화,1956.05.,1956.05.,Article,M,
486,천세욱,또호탐정,학원,1957.08.,,Article,M,
487,천세욱,목숨을 걸고(또호 탐정),학원,1957.10.,,Article,M,
488,천세욱,악마의 날,화제,1957.10.,,Article,M,
489,천세욱,육욕의 문,실화,1957.11.,,Article,M,
490,천세욱,마흔아홉의 곰보,학원,1957.12.,,Article,M,
491,천세욱,나는 너를 쏠테다,이야기,1957.12.,1958.01.,Article,M,
492,천세욱,애련의 여상,아리랑,1958.02.,,Article,M,
493,천세욱,나는야 특종기자,화제,1958.12.,,Article,M,
494,천세욱,하늘을 지켜라,학원,1959.04.,,Article,M,
495,천세욱,척척박사의 추리,학원,1959.05.,,Article,M,
496,천세욱,그대는 알겠는가?,학원,1959.06.,,Article,M,
497,천세욱,살인자(임호 탐정),소설계,1959.신년호,,Article,M,
498,천세욱,검은 작업복,실화,1959.06.,,Article,M,
499,천세욱,탐정을 찾아내라,아리랑,1959.10.,1960.09.,Article,M,
500,천세욱,마약왕의 정부,화제,1959.10.,,Article,M,
501,천세욱,공중의 나체극장,화제,1959.11.,,Article,M,
502,최운권,복수는 끝나지 않았다,삼천리,1957.11.,,Article,M,
503,최운권,원한이대,야담,1958.02.,,Article,M,
504,최인욱,환상의 여인,실화,1953.11.,,Article,M,
505,최종준,첫날밤의 괴변,실화,1957.06.,,Article,M,
506,최종준,아내는 무죄했다,실화,1957.09.,,Article,M,
507,추명호,황혼에 나타난 사나이의 정체,화제,1958.11.,,Article,M,
508,추명호,다섯번째의 사나이,화제,1959.02.,,Article,M,
509,추식,시계강도,소설계,1959.11.,,Article,M,
510,한기철,여덟번째의 남자,명랑,1956.08.,,Article,M,
511,허문녕,결혼저주마,희망,1956.06.,,Article,M,
512,허문녕,붉은 술잔,희망,1956.10.,,Article,M,
513,허문녕,백설령,야담,1957.04.,1958.03.,Article,M,
514,허문녕,응접실의 살인,아리랑,1958.02.,,Article,M,
515,허문녕,촬영기사의 살인,야담과 실화,1958.03.,,Article,M,
516,허문녕,그것이 증거다,아리랑,1958.04.,,Article,M,
517,허문녕,붉은 거미,아리랑,1958.05.,,Article,M,
518,허문녕,명 박사 살해사건,혜성,1958.05.,,Article,M,
519,허문녕,지옥에서 온 망령,아리랑,1958.06.,,Article,M,
520,허문녕,공포의 응접실,아리랑,1958.08.,,Article,M,
521,허문녕,유령장,야담과 실화,1958.09.,,Article,M,
522,허문녕,오인의 목격자,이야기,1958.09.,,Article,M,
523,허문녕,죽엄의 녹색 타이트 스카-트,화제,1958.10.,,Article,M,
524,허문녕,역시 범인은 그다,이야기,1958.11.,,Article,M,
525,허문녕,바보 삐뻐는 안다,학원,1958.11.,,Article,M,
526,허문녕,난의 묵화,야담,1958.12.,1959.02.,Article,M,
527,허문녕,주홍까운의 여귀,명랑,1959.01.,,Article,M,
528,허문녕,흑취,소설계,1959.증간호,,Article,M,
529,허문녕,범인은 바로 너다!,아리랑,1959.02.,,Article,M,
530,허문녕,천벌,소설계,1959.03.,,Article,M,
531,허문녕,숲속의 미모부인,화제,1959.03.,,Article,M,
532,허문녕,나는 살인자다,소설계,1959.05.,,Article,M,
533,허문녕,기이한 자살,소설계,1959.05.,,Article,M,
534,허문녕,비밀을 쥔 강아지,화제,1959.05.,,Article,M,
535,허문녕,나체화의 비밀,소설계,1959.06.,,Article,M,
536,허문녕,기괴한 둔갑사건,소설계,1959.10.,,Article,M,
537,허문녕,기적을 뿌리는 사나이,소설계,1959.11.,,Article,M,
538,허문녕,멸라성 고략,소설계,1959.12.,,Article,M,
539,허문녕,탈옥수를 잡아라,실화,1959.12.,,Article,M,
540,현상걸,아름다운 야수,화제,1958.10.,,Article,M,
541,현상걸,미지의 수레바퀴,실화,1959.01.,,Article,M,
542,현시관,청부살인,화제,1957.10.,,Article,M,
543,현시관,심야의 사미인,화제,1957.12.,,Article,M,
544,현시관,영시정각의 예고살인,화제,1958.01.,,Article,M,
545,현시관,의혹,화제,1958.03.,,Article,M,
546,현치수,피묻은 애욕,아리랑,1956.12.,,Article,M,
547,현치수,재판 이후,아리랑,1957.04.,,Article,M,
548,현치수,지문,아리랑,1957.06.,,Article,M,
549,현치수,애욕의 종말,화제,1958.02.,,Article,M,
550,현치수,천왕성의 비밀,아리랑,1959.09.,,Article,M,
551,현치수,뒤따르는 미녀,아리랑,1959.05.,,Article,M,
552,현치수,미인도이문,야담,1956.11.,,Article,M,
553,현치수,광교의 살인사건,야담,1956.12.,,Article,M,
554,현치수,건봉사의 종,야담,1957.01.,,Article,M,
555,현치수,양선상의 비밀,야담,1957.03.,,Article,M,
556,현치수,불의의 함정,야담,1957.05.,,Article,M,
557,현치수,무예장의 살인사건,야담,1958.03.,,Article,M,
