No.,Title,Author,Publication,Start_Year,End_Year,Publication_Type,Source,비고
190,리벤지 바이 블러드,"오현리,박상민,홍성호,김재성,조동신,장우석,반대인,김주동,공민철,김재희,양수현,윤자영",황금펜클럽,2017,,Anthology,"MK, DN",
191,부유하는 혼 : 황희 장편소설,황희,해냄출판사,2017,,Book,"MK, DN",
192,비사문천 살인사건 : 토정 이지함 : 허수정 장편소설,허수정,신아출판사,2017,,Book,"MK, MN",
193,소실점 : 김희재 장편소설,김희재,CABINET(캐비넷),2017,,Book,"MK, DN",
194,수상한 에이스는 유니폼이 없다 : 본격 야구 미스터리 소설,"최혁곤,이용균",황금가지,2017,,Book,"MK, DN, MN",동일
195,신데렐라 포장마차 : 정가일 장편소설,정가일,들녘,2017,2022,Book,"MK, DN",
196,운석사냥꾼 : 김용태 미스터리 스릴러,김용태,고즈넉이엔티,2017,,Book,"MK, DN, MN",동일
197,정신 자살 : 도진기 장편소설,도진기,황금가지,2017,,Book,"MK, DN",
198,청계산장의 재판 : 박은우 미스터리 스릴러,박은우,고즈넉이엔티,2017,,Book,"MK, DN, MN",동일
199,카니발의 아침,서일록,초록인,2017,,Book,"MK, DN",
200,해피엔드는 없다 : 추리소설가인 교사와 재치 넘치는 학생들의 콜라보레이션,"사이언픽션,김지윤,남용준,서귀인,김상민,정민제,오승현,신유진,장아현",책과나무,2017,,Anthology,"MK, DN",
201,곤충 : 장민혜 미스터리 스릴러,장민혜,고즈넉이엔티,2018,,Book,"MK, MN",
202,나는 살고 싶다 : 김성종 장편추리소설,김성종,남도출판사,2018,,Book,"MK, DN",
203,넘버. 오삼일 : 변억환 추리소설,변억환,몽트,2018,,Book,"MK, DN",
204,녹색섬광 : 김은주 미스터리 소설,김은주,아르테누아르,2018,,Book,"MK, MN",
205,동생의 비밀 : 신혜선 미스터리 소설,신혜선,아르테누아르,2018,,Book,"MK, DN, MN",동일
206,무저갱 : 반시연 장편소설,반시연,인디페이퍼,2018,,Book,"MK, DN",
207,삐뚤어진 나라의 미스터리 : 아직 아무 일도 일어나지 않았다 -국가 편-,노원,포문,2018,,Book,"MK, MN",
208,산호새의 비밀 : 천재 변리사의 죽음 : 이태훈 장편소설,이태훈,몽실북스,2018,,Book,"MK, DN",
209,어른은 권력이다 : 2018 올해의 추리소설,"김범석,김재성,김재희,김주동,김주호,박상민,양수련,윤자영,장우석,정가일,조동신,한이 ;엮은이: 한국추리작가협회",청어람,2018,,Anthology,"MK, DN",
210,잘 자요 엄마 : 서미애 장편소설,서미애,엘릭시르,2018,,Book,"MK, DN",
211,창세의 하자 : 하두석 추리소설,하두석,북랩,2018,,Book,"MK, DN",
212,칠칠단의 비밀 : (소파) 방정환 탐정소설 : 평생 소장 소설,방정환,부크크,2018,,Book,"MK, DN",
213,탐정의 탄생 : 현대 근대 추리소설의 기원과 역사,박진영,소명출판,2018,,Book,"MK, DN",
214,표정없는 남자 : 김재희 소설,김재희,책과나무,2018,,Book,"MK, DN",
